"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Wastal, Carrie King","MUIR 1 - First Year Experience (A)","WI19","19","9","100.0%","75.0%","1.00","A (4.00)","N/A"
"Yang, K. Wayne","MUIR 2 - Transfer Year Experience (A)","WI19","18","10","88.9%","88.9%","1.61","N/A","N/A"
"Yang, K. Wayne","MUIR 1 - First Year Experience (A)","FA18","105","57","88.5%","96.1%","1.08","A- (3.92)","N/A"
"Wastal, Carrie King","MUIR 2 - Transfer Year Experience (A)","FA18","27","14","85.7%","92.9%","2.36","A- (3.80)","N/A"
"Wastal, Carrie King","MUIR 2 - Transfer Year Experience (A)","WI18","22","12","100.0%","100.0%","1.41","A (4.00)","N/A"
"Moore, John C.","MUIR 1 - First Year Experience (A)","FA17","98","55","84.9%","88.7%","1.63","A- (3.89)","N/A"
"Wastal, Carrie King","MUIR 2 - Transfer Year Experience (A)","FA17","25","13","100.0%","100.0%","1.23","A (4.00)","N/A"
"Moore, John C.","MUIR 1 - First Year Experience (A)","FA16","98","60","91.5%","93.2%","1.22","A- (3.94)","N/A"
"Wastal, Carrie King","MUIR 2 - Transfer Year Experience (A)","FA16","29","15","85.7%","78.6%","2.65","A- (3.86)","N/A"
"Wastal, Carrie King","MUIR 87 - Freshman Seminar (A)","FA16","13","3","100.0%","100.0%","0.50","N/A","N/A"
"Vitz, Matthew","MUIR 1 - First Year Experience (A)","FA15","44","20","75.0%","85.0%","1.20","A- (3.83)","N/A"
"Moore, John C.","MUIR 2 - Transfer Year Experience (A)","FA15","16","9","100.0%","100.0%","0.50","A- (3.80)","N/A"
"Wastal, Carrie King","MUIR 87 - Freshman Seminar (A)","FA15","12","7","100.0%","100.0%","1.36","A (4.00)","N/A"
"Moore, John C.","MUIR 1 - First Year Experience (A)","FA14","60","39","68.4%","78.9%","0.71","A (4.00)","N/A"
"Wastal, Carrie King","MUIR 87 - Freshman Seminar (A)","FA14","13","9","100.0%","100.0%","0.50","A (4.00)","N/A"
"Wastal, Carrie King","MUIR 87 - Freshman Seminar (A)","SP14","10","3","100.0%","100.0%","1.83","N/A","N/A"
"Wastal, Carrie King","MUIR 87 - Freshman Seminar (B)","WI14","5","3","100.0%","100.0%","1.83","B (3.00)","N/A"
"Wastal, Carrie King","MUIR 87 - Freshman Seminar (A)","FA13","11","9","88.9%","88.9%","2.25","B+ (3.67)","N/A"
"Wastal, Carrie King","MUIR 87   - Freshman Seminar               (A)","WI11","10","8","100.0%","100.0%","1.64","B (3.00)","N/A"
"Wastal, Carrie King","MUIR 87 - Freshman Seminar               (A)","FA10","17","14","100.0%","100.0%","0.50","A (4.00)","N/A"
"Lin, James P.","MUIR 90H  - Undrgrad Rsrch/Mdrn Resrch Unv (A)","FA10","31","27","85.2%","100.0%","0.96","A (4.00)","N/A"
